image_id,cluster
3,cluster_LynxID2025_3
5,cluster_LynxID2025_5
12,cluster_LynxID2025_12
13,cluster_LynxID2025_13
18,cluster_LynxID2025_18
19,cluster_LynxID2025_19
27,cluster_LynxID2025_27
33,cluster_LynxID2025_33
36,cluster_LynxID2025_36
45,cluster_LynxID2025_45
46,cluster_LynxID2025_46
47,cluster_LynxID2025_47
48,cluster_LynxID2025_48
49,cluster_LynxID2025_49
55,cluster_LynxID2025_55
58,cluster_LynxID2025_58
61,cluster_LynxID2025_61
62,cluster_LynxID2025_62
63,cluster_LynxID2025_63
64,cluster_LynxID2025_64
65,cluster_LynxID2025_65
67,cluster_LynxID2025_67
68,cluster_LynxID2025_68
74,cluster_LynxID2025_74
81,cluster_LynxID2025_81
84,cluster_LynxID2025_84
85,cluster_LynxID2025_85
86,cluster_LynxID2025_86
89,cluster_LynxID2025_89
90,cluster_LynxID2025_90
94,cluster_LynxID2025_94
97,cluster_LynxID2025_97
98,cluster_LynxID2025_98
106,cluster_LynxID2025_106
113,cluster_LynxID2025_113
123,cluster_LynxID2025_123
124,cluster_LynxID2025_124
126,cluster_LynxID2025_126
131,cluster_LynxID2025_131
137,cluster_LynxID2025_137
139,cluster_LynxID2025_139
145,cluster_LynxID2025_145
150,cluster_LynxID2025_150
163,cluster_LynxID2025_163
166,cluster_LynxID2025_166
167,cluster_LynxID2025_167
168,cluster_LynxID2025_168
171,cluster_LynxID2025_171
173,cluster_LynxID2025_173
182,cluster_LynxID2025_182
183,cluster_LynxID2025_183
186,cluster_LynxID2025_186
188,cluster_LynxID2025_188
190,cluster_LynxID2025_190
192,cluster_LynxID2025_192
195,cluster_LynxID2025_195
202,cluster_LynxID2025_202
203,cluster_LynxID2025_203
205,cluster_LynxID2025_205
209,cluster_LynxID2025_209
210,cluster_LynxID2025_210
213,cluster_LynxID2025_213
216,cluster_LynxID2025_216
219,cluster_LynxID2025_219
221,cluster_LynxID2025_221
228,cluster_LynxID2025_228
231,cluster_LynxID2025_231
240,cluster_LynxID2025_240
242,cluster_LynxID2025_242
245,cluster_LynxID2025_245
264,cluster_LynxID2025_264
266,cluster_LynxID2025_266
273,cluster_LynxID2025_273
276,cluster_LynxID2025_276
280,cluster_LynxID2025_280
282,cluster_LynxID2025_282
286,cluster_LynxID2025_286
289,cluster_LynxID2025_289
293,cluster_LynxID2025_293
294,cluster_LynxID2025_294
296,cluster_LynxID2025_296
311,cluster_LynxID2025_311
312,cluster_LynxID2025_312
315,cluster_LynxID2025_315
